each chapter is h1,,,
contains 5 - 20 h3s. Reserve h2 to stabilize number between 5 -7 h3.,,,
,,,
h1,h2,h3,before_line_number
ed,ibc,prompt 1,1
,,admissions,6
,,challenge your ideas,8
,student,student-goal,15
,,agreement,22
,,agreement-2,26
,,course-content,27
,roles,think,31
,,read,38
,,read-lesson,43
,,read-pitch,52
,,writer-pitch,60
,,writer-plan,64
,,instructor,72
words,cognition,pitch,1
,,problem,11
,,kinds and uses,17
,,word as bet,20
,,word as simulation,24
,,word-plan,26
,"speak, write",write-plan,30
,,listen-plan,38
,,word example vs idea,45
,,role-scientists,47
revisions,SR,session,1
,,prompts,8
,,word limit,10
,,time limits,16
,,lessons,19
,revision,revise,25
,,revise-plan,29
,,notes,33
,,doc-types,35
comm,styles,comm-goal,42
,,comm-problem,47
,,PRIs differ,58
,,NORMS-style,64
,lib,def,71
,,lib as PRI,75
,,ref system,88
,,answerword,95
,,index,99
,epilogue,sr-bet,1
,,your calling-2,4
,,answerword-prequel,5
,,beginnings,14
